Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
67,Zorhan Bassong,ca CAN,DF,CF Montréal,22,1999,2.1,0,2,0,0,0.96,0,0,,7.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,6297d826
68,Tanner Beason,us USA,DF,San Jose,24,1997,24.9,0,5,1,20,0.2,0.04,0,0,10.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches,3f1b018e
69,Simon Becher,us USA,FW,Vancouver,22,1999,0.1,1,1,1,100,10,10,1,1,6.2,0,0,0,0.3,0.3,0.27,0.7,0.7,Matches,bc921182
70,Alejandro Bedoya,us USA,MF,Philadelphia,34,1987,26.9,6,36,13,36.1,1.34,0.48,0.17,0.46,14.7,0,0,0,3.3,3.3,0.09,2.7,2.7,Matches,9a6f8dfd
71,Steven Beitashour,ir IRN,DFMF,Colorado Rapids,34,1987,14.6,0,5,0,0,0.34,0,0,,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,64f1680a
72,Jon Bell,us USA,DF,New England,24,1997,11.7,1,3,1,33.3,0.26,0.09,0.33,1,7.8,0,0,0,0.4,0.4,0.14,0.6,0.6,Matches,658a3134
73,Ben Bender,us USA,MF,Charlotte,20,2001,18.3,3,25,7,28,1.37,0.38,0.12,0.43,20.9,0,0,0,2.7,2.7,0.11,0.3,0.3,Matches,bc307884
74,Alan Benítez,py PAR,DF,Minnesota Utd,28,1994,6.3,1,5,3,60,0.79,0.47,0.2,0.33,17.6,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches,5c7c798b
75,Julio Benitez,us USA,MF,Real Salt Lake,16,2005,0.1,0,0,0,,0,0,,,,,0,0,,,,,,Matches,625ed11d
76,Christian Benteke,be BEL,FW,D.C. United,31,1990,6.2,1,23,5,21.7,3.71,0.81,0.04,0.2,13.6,0,0,1,2.7,1.8,0.08,-1.7,-0.8,Matches,ab070c55
77,Sebastian Berhalter,us USA,MF,Vancouver,20,2001,11.4,0,13,4,30.8,1.14,0.35,0,0,22.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,f33ee427
78,Federico Bernardeschi,it ITA,FW,Toronto FC,27,1994,12.2,8,35,10,28.6,2.87,0.82,0.09,0.3,23.1,4,5,5,6.3,2.3,0.07,1.7,0.7,Matches,ee93c1a9
79,Miguel Berry,es ESP,FWMF,D.C. United,24,1997,7.9,0,8,4,50,1.01,0.51,0,0,11.1,0,0,0,1,1,0.12,-1,-1,Matches,a5532e80
80,Miguel Berry,es ESP,FW,Columbus Crew,24,1997,10.8,2,20,4,20,1.86,0.37,0.1,0.5,13.6,1,0,0,2.7,2.7,0.13,-0.7,-0.7,Matches,a5532e80
81,Matt Bersano,us USA,GK,San Jose,29,1992,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,9110da2b
82,Nick Besler,us USA,MFDF,Real Salt Lake,28,1993,2.8,0,2,1,50,0.72,0.36,0,0,20.8,0,0,0,0,0,0.02,0,0,Matches,cc9fa1a8
83,Victor Bezerra,us USA,FWDF,Chicago Fire,21,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,cbfb6ca5
84,David Bingham,us USA,GK,Portland Timbers,32,1989,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,7fd42a85
85,Steve Birnbaum,us USA,DF,D.C. United,31,1991,31.7,2,23,6,26.1,0.73,0.19,0.09,0.33,11.9,0,0,0,1.7,1.6,0.07,0.3,0.4,Matches,26637ac8
86,Tyler Blackett,eng ENG,DF,FC Cincinnati,27,1994,14.9,0,7,1,14.3,0.47,0.07,0,0,10.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,a68a5466
87,Tristan Blackmon,us USA,DF,Vancouver,25,1996,23.7,1,14,5,35.7,0.59,0.21,0.07,0.2,10.7,0,0,0,2,2,0.14,-1,-1,Matches,7f35d14e
88,Andre Blake,jm JAM,GK,Philadelphia,31,1990,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,b3b21a11
89,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,33,1988,20.2,7,58,19,32.8,2.87,0.94,0.1,0.32,20.5,2,1,1,5.6,4.8,0.08,1.4,1.2,Matches,4ddd0834
90,Latif Blessing,gh GHA,MFFW,Los Angeles FC,25,1996,14.8,0,16,4,25,1.08,0.27,0,0,14.4,0,0,0,1.8,1.8,0.11,-1.8,-1.8,Matches,5153d32e
91,Emmanuel Boateng,gh GHA,FWMF,New England,28,1994,11.1,2,14,6,42.9,1.26,0.54,0.14,0.33,11.5,0,0,0,1.7,1.7,0.12,0.3,0.3,Matches,25f77a5f
92,Blake Bodily,us USA,FWDF,Portland Timbers,24,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,612a0951
93,Isaac Boehmer,us USA,GK,Vancouver,20,2001,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,9792574e
94,Jonathan Bond,eng ENG,GK,LA Galaxy,28,1993,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,c3a86eea
95,Pablo Bonilla,ve VEN,DF,Portland Timbers,22,1999,2.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,da23cdc3
96,Alex Bono,us USA,GK,Toronto FC,27,1994,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,aa28a396
97,Jonathan Bornstein,us USA,DFMF,Chicago Fire,37,1984,13.3,1,5,1,20,0.37,0.07,0.2,1,17.3,0,0,0,0.1,0.1,0.02,0.9,0.9,Matches,79a6c95f
98,Dylan Borrero,co COL,FW,New England,20,2002,6.7,3,19,6,31.6,2.84,0.9,0.16,0.5,19.1,0,0,0,1.7,1.7,0.09,1.3,1.3,Matches,a72d14de
99,Gustavo Bou,ar ARG,FW,New England,31,1990,17.8,8,72,29,40.3,4.05,1.63,0.1,0.24,18.7,3,1,1,7.5,6.7,0.09,0.5,0.3,Matches,3dfcc735
100,Denis Bouanga,ga GAB,FW,Los Angeles FC,27,1994,5.5,1,26,8,30.8,4.72,1.45,0.04,0.13,16.2,1,0,0,3.3,3.3,0.13,-2.3,-2.3,Matches,0b0cbe5b
101,Ousseni Bouda,bf BFA,FWMF,San Jose,21,2000,1.3,0,5,1,20,3.81,0.76,0,0,14.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,0672f944
