Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
632,Ruan,br BRA,DF,Orlando City,26,1995,31,29,2454,27.3,2,1,3,2,0,0,3,0,0.7,0.7,3.3,4.1,79,64,241,0.07,0.04,0.11,0.07,0.11,0.03,0.12,0.15,0.03,0.15,Matches,f2665f7c
633,Rubio Rubin,gt GUA,FWMF,Real Salt Lake,25,1996,23,7,866,9.6,1,0,1,1,0,0,1,0,2.1,2.1,0.3,2.4,13,25,50,0.1,0,0.1,0.1,0.1,0.22,0.03,0.25,0.22,0.25,Matches,9bad7100
634,Diego Rubio,cl CHI,MFFW,Colorado Rapids,28,1993,30,28,2436,27.1,16,5,21,12,4,4,10,1,12.4,9.2,5.8,15,52,146,146,0.59,0.18,0.78,0.44,0.63,0.46,0.21,0.67,0.34,0.55,Matches,3f082234
635,Raúl Ruidíaz,pe PER,FW,Seattle,31,1990,18,14,1302,14.5,9,1,10,8,1,1,0,0,7.1,6.3,1.1,7.4,16,38,73,0.62,0.07,0.69,0.55,0.62,0.49,0.07,0.56,0.44,0.51,Matches,7a4296e1
636,Pablo Ruíz,ar ARG,MF,Real Salt Lake,23,1998,29,28,2413,26.8,2,4,6,1,1,2,9,0,4.3,2.8,4.2,7,21,163,31,0.07,0.15,0.22,0.04,0.19,0.16,0.16,0.32,0.1,0.26,Matches,7368cd70
637,Sergio Ruiz,es ESP,MF,Charlotte,27,1994,18,7,723,8,1,2,3,1,0,0,2,0,0.9,0.9,1.9,2.8,14,43,35,0.12,0.25,0.37,0.12,0.37,0.11,0.24,0.35,0.11,0.35,Matches,1f423a54
638,Albert Rusnák,sk SVK,MF,Seattle,27,1994,32,30,2603,28.9,3,0,3,3,0,0,3,0,2.6,2.6,2.1,4.8,70,198,93,0.1,0,0.1,0.1,0.1,0.09,0.07,0.17,0.09,0.17,Matches,0adeafaa
639,Johnny Russell,sct SCO,FWMF,Sporting KC,31,1990,33,31,2698,30,8,1,9,5,3,4,4,0,8.1,4.9,4.2,9.1,126,82,217,0.27,0.03,0.3,0.17,0.2,0.27,0.14,0.41,0.16,0.3,Matches,a30e1562
640,Jacen Russell-Rowe,ca CAN,FW,Columbus Crew,19,2002,6,3,228,2.5,0,2,2,0,0,0,1,0,0.4,0.4,0.5,1,0,1,21,0,0.79,0.79,0,0.79,0.17,0.22,0.39,0.17,0.39,Matches,b33c6ed5
641,Zach Ryan,us USA,FW,NY Red Bulls,23,1999,6,0,43,0.5,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,1,5,0,0,0,0,0,0.71,0.14,0.85,0.71,0.85,Matches,74ba46bc
642,Ryan Sailor,us USA,DF,Inter Miami,23,1998,22,14,1521,16.9,0,0,0,0,0,0,1,0,0.9,0.9,0,0.9,0,17,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches,4924d9bb
643,Carlos Salcedo,mx MEX,DF,Toronto FC,28,1993,13,13,1153,12.8,0,0,0,0,0,0,5,1,0.2,0.2,0.1,0.3,3,45,3,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,64c07ae1
644,Adam Saldaña,us USA,MF,LA Galaxy,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches,ca135560
645,Shea Salinas,us USA,FWDF,San Jose,35,1986,13,1,203,2.3,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,14,8,23,0.44,0,0.44,0.44,0.44,0.13,0.04,0.17,0.13,0.17,Matches,4c10838d
646,Dániel Sallói,hu HUN,FWMF,Sporting KC,25,1996,29,28,2528,28.1,7,3,10,7,0,1,2,1,5.8,5,4.1,9.1,66,72,221,0.25,0.11,0.36,0.25,0.36,0.21,0.15,0.35,0.18,0.32,Matches,6fcddf5f
647,Gaoussou Samaké,ci CIV,DF,D.C. United,24,1997,3,1,112,1.2,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,5,6,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches,ae760cf4
648,Ilie Sánchez,es ESP,MF,Los Angeles FC,31,1990,33,30,2677,29.7,1,0,1,1,0,0,7,1,1,1,2,2.9,16,199,28,0.03,0,0.03,0.03,0.03,0.03,0.07,0.1,0.03,0.1,Matches,72979f65
649,William Sands,us USA,DF,Columbus Crew,21,2000,12,5,639,7.1,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,11,14,20,0,0.14,0.14,0,0.14,0.01,0.02,0.03,0.01,0.03,Matches,960a4473
650,Sergio Santos Gomes,br BRA,FW,Philadelphia,27,1994,11,8,608,6.8,1,3,4,1,0,0,2,0,1.7,1.7,3.1,4.8,13,11,59,0.15,0.44,0.59,0.15,0.59,0.25,0.47,0.71,0.25,0.71,Matches,a930b263
651,Sergio Santos Gomes,br BRA,FW,FC Cincinnati,27,1994,8,0,138,1.5,0,0,0,0,0,0,0,1,1.5,1.5,0.3,1.8,7,3,20,0,0,0,0,0,0.96,0.22,1.18,0.96,1.18,Matches,a930b263
652,Koa Santos,us USA,MF,Charlotte,22,1999,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches,c09ddc5e
653,Nuno Santos,pt POR,MFFW,Charlotte,22,1999,4,1,159,1.8,1,0,1,1,0,0,1,0,0.7,0.7,0,0.7,8,17,13,0.57,0,0.57,0.57,0.57,0.38,0,0.38,0.38,0.38,Matches,6fc57554
654,Pedro Santos,pt POR,DF,Columbus Crew,33,1988,29,28,2333,25.9,1,2,3,1,0,1,6,0,1.8,1.1,2.5,3.5,61,146,113,0.04,0.08,0.12,0.04,0.12,0.07,0.1,0.17,0.04,0.14,Matches,789da0f2
655,C.J. Sapong,us USA,FW,Nashville,33,1988,33,30,2464,27.4,5,5,10,5,0,0,5,0,8.1,8.1,3.4,11.5,27,54,135,0.18,0.18,0.37,0.18,0.37,0.3,0.12,0.42,0.3,0.42,Matches,ef4e4c5d
