,Player,POS,Club,GP,GS,MINS,G,A,YC,RC,SHTS,SOG,SOG%,SC%,Year,best_11,W,L,D,GD
2234,Abbe Ibrahim,F,MET,16,6,575,2,3,3,1,15,8,53.33,13.3,2005,0,12.0,9.0,11.0,4.0
2235,Antonio Martinez,F,CHV,25,16,1601,2,3,5,0,24,11,45.83,8.3,2005,0,4.0,22.0,6.0,-36.0
2236,Richard Mulrooney,M,DAL,7,7,574,2,2,1,0,7,2,28.57,28.6,2005,0,13.0,10.0,9.0,8.0
2237,Jimmy Conrad,D,KC,25,25,2241,2,2,4,0,11,5,45.45,18.2,2005,1,11.0,9.0,12.0,8.0
2238,Preki,M,KC,16,4,475,2,2,1,0,13,5,38.46,15.4,2005,0,11.0,9.0,12.0,8.0
2239,Kelly Gray,D,CHI,26,25,2281,2,2,3,0,16,4,25.0,12.5,2005,0,15.0,13.0,4.0,-1.0
2240,Arturo Torres,F,CHV,23,15,1366,2,2,3,0,16,5,31.25,12.5,2005,0,4.0,22.0,6.0,-36.0
2241,Chris Armas,M,CHI,22,22,1879,2,2,0,0,17,5,29.41,11.8,2005,0,15.0,13.0,4.0,-1.0
2242,Terry Cooke,M,COL,20,17,1490,2,2,3,0,18,6,33.33,11.1,2005,0,13.0,13.0,6.0,3.0
2243,Luchi Gonzalez,F,COL,20,19,1448,2,2,1,0,22,14,63.64,9.1,2005,0,13.0,13.0,6.0,3.0
2244,Andy Herron,F,CHI,20,13,980,2,2,1,0,22,12,54.55,9.1,2005,0,15.0,13.0,4.0,-1.0
2245,Matt Taylor,F,CHV,21,14,1303,2,2,1,0,24,7,29.17,8.3,2005,0,4.0,22.0,6.0,-36.0
2246,Jamie Watson,M,RSL,19,6,815,2,1,1,1,16,10,62.5,12.5,2005,0,5.0,22.0,5.0,-35.0
2247,Clarence Goodson,D,DAL,29,28,2488,2,1,9,0,18,9,50.0,11.1,2005,0,13.0,10.0,9.0,8.0
2248,Douglas Sequeira,M,CHV,23,23,2070,2,1,5,0,19,5,26.32,10.5,2005,0,4.0,22.0,6.0,-36.0
2249,Brian Dunseth,D,RSL,24,24,2011,2,0,3,1,8,5,62.5,25.0,2005,0,5.0,22.0,5.0,-35.0
2250,Danny Califf,D,SJ,20,20,1742,2,0,7,1,9,5,55.56,22.2,2005,1,18.0,4.0,10.0,22.0
2251,Eric Vasquez,M,CLB,11,8,703,2,0,0,0,9,5,55.56,22.2,2005,0,11.0,16.0,5.0,-11.0
2252,Seth Trembly,M,RSL,22,11,1173,2,0,8,0,25,13,52.0,8.0,2005,0,5.0,22.0,5.0,-35.0
2253,Simon Elliott,M,CLB,32,32,2880,1,11,5,0,31,9,29.03,3.2,2005,0,11.0,16.0,5.0,-11.0
2254,Steve Ralston,M,NE,21,21,1857,1,6,1,0,29,14,48.28,3.4,2005,0,17.0,7.0,8.0,18.0
2255,Jay Heaps,D,NE,31,31,2790,1,5,7,0,17,10,58.82,5.9,2005,0,17.0,7.0,8.0,18.0
2256,Eric Denton,D,COL,31,30,2693,1,5,5,0,23,4,17.39,4.3,2005,0,13.0,13.0,6.0,3.0
2257,Michael Bradley,M,TOR,30,30,2628,1,4,9,0,17,5,29.41,5.9,2005,0,,,,
2258,Kyle Beckerman,M,RSL,30,25,2341,1,4,5,0,24,8,33.33,4.2,2005,0,5.0,22.0,5.0,-35.0
2259,Chad Barrett,F,CHI,20,4,594,1,4,0,0,25,9,36.0,4.0,2005,0,15.0,13.0,4.0,-1.0
2260,David Testo,M,CLB,17,12,1030,1,3,4,0,7,2,28.57,14.3,2005,0,11.0,16.0,5.0,-11.0
2261,James Riley,D,NE,23,12,1292,1,3,3,0,9,4,44.44,11.1,2005,0,17.0,7.0,8.0,18.0
2262,Brian Carroll,M,DC,32,30,2567,1,3,4,0,10,4,40.0,10.0,2005,0,16.0,10.0,6.0,21.0
2263,Jim Curtin,D,CHI,27,24,2143,1,3,3,0,12,6,50.0,8.3,2005,0,15.0,13.0,4.0,-1.0
2264,Ednaldo da Conceicao,F,LA,19,9,949,1,3,4,0,14,7,50.0,7.1,2005,0,13.0,13.0,6.0,-1.0
2265,Chad Marshall,D,CLB,30,30,2655,1,3,1,0,25,10,40.0,4.0,2005,0,11.0,16.0,5.0,-11.0
2266,Wade Barrett,D,SJ,30,30,2664,1,2,2,0,4,2,50.0,25.0,2005,0,18.0,4.0,10.0,22.0
2267,Tyrone Marshall,D,LA,25,25,2085,1,2,7,1,15,4,26.67,6.7,2005,0,13.0,13.0,6.0,-1.0
2268,Chris Albright,D,LA,22,21,1772,1,2,7,0,29,12,41.38,3.4,2005,1,13.0,13.0,6.0,-1.0
2269,Julian Nash,F,SJ,10,1,228,1,1,0,0,3,3,100.0,33.3,2005,0,18.0,4.0,10.0,22.0
2270,Eddie Robinson,D,SJ,29,29,2450,1,1,6,2,5,2,40.0,20.0,2005,0,18.0,4.0,10.0,22.0
2271,Ryan Pore,M,KC,8,4,285,1,1,0,0,6,1,16.67,16.7,2005,0,11.0,9.0,12.0,8.0
2272,Jamal Sutton,F,CLB,8,3,327,1,1,1,0,7,2,28.57,14.3,2005,0,11.0,16.0,5.0,-11.0
2273,Bryan Namoff,D,DC,17,15,1348,1,1,4,1,8,3,37.5,12.5,2005,0,16.0,10.0,6.0,21.0
2274,Oscar Pareja,M,DAL,18,6,645,1,1,3,0,9,6,66.67,11.1,2005,0,13.0,10.0,9.0,8.0
2275,Samuel Caballero,D,CHI,17,16,1439,1,1,2,0,11,4,36.36,9.1,2005,0,15.0,13.0,4.0,-1.0
2276,Chris Gbandi,D,DAL,17,17,1519,1,1,7,0,14,7,50.0,7.1,2005,0,13.0,10.0,9.0,8.0
2277,Marshall Leonard,M,NE,27,25,1922,1,1,5,0,15,8,53.33,6.7,2005,0,17.0,7.0,8.0,18.0
2278,Alex Zotinca,D,KC,16,13,1060,1,1,1,0,15,8,53.33,6.7,2005,0,11.0,9.0,12.0,8.0
2279,Melvin Tarley,F,RSL,9,9,729,1,1,0,0,22,12,54.55,4.5,2005,0,5.0,22.0,5.0,-35.0
2280,Chris Brown,M,RSL,29,25,2124,1,1,0,0,30,10,33.33,3.3,2005,0,5.0,22.0,5.0,-35.0
2281,Guillermo Ramirez,M,LA,24,18,1590,1,1,2,0,62,30,48.39,1.6,2005,0,13.0,13.0,6.0,-1.0
2282,Marcelo Saragosa,M,LA,4,2,255,1,0,0,0,1,1,100.0,100.0,2005,0,13.0,13.0,6.0,-1.0
2283,John Thorrington,M,CHI,8,4,368,1,0,1,0,2,1,50.0,50.0,2005,0,15.0,13.0,4.0,-1.0
2284,Ryan Suarez,D,CHV,19,16,1309,1,0,2,0,3,1,33.33,33.3,2005,0,4.0,22.0,6.0,-36.0
2285,Esteban Arias,D,CHV,15,14,1141,1,0,4,1,3,2,66.67,33.3,2005,0,4.0,22.0,6.0,-36.0
2286,Nana Kuffour,F,DC,3,2,180,1,0,0,0,3,1,33.33,33.3,2005,0,16.0,10.0,6.0,21.0
2287,Michael Enfield,M,LA,6,2,247,1,0,0,0,4,2,50.0,25.0,2005,0,13.0,13.0,6.0,-1.0
2288,Will Johnson,D,CHI,6,1,161,1,0,1,1,4,2,50.0,25.0,2005,0,15.0,13.0,4.0,-1.0
2289,Kevin Novak,D,RSL,3,2,220,1,0,0,0,4,2,50.0,25.0,2005,0,5.0,22.0,5.0,-35.0
2290,Fabrice Noel,F,COL,7,0,123,1,0,0,0,5,3,60.0,20.0,2005,0,13.0,13.0,6.0,3.0
2291,Facundo Erpen,D,DC,8,8,696,1,0,4,0,5,4,80.0,20.0,2005,0,16.0,10.0,6.0,21.0
2292,Troy Dayak,D,SJ,7,7,551,1,0,0,0,5,1,20.0,20.0,2005,0,18.0,4.0,10.0,22.0
2293,Pablo Mastroeni,M,COL,14,12,942,1,0,3,1,5,3,60.0,20.0,2005,0,13.0,13.0,6.0,3.0
2294,Pablo Chinchilla,D,LA,19,17,1399,1,0,2,0,7,2,28.57,14.3,2005,0,13.0,13.0,6.0,-1.0
2295,Mike Petke,D,COL,26,26,2250,1,0,7,0,7,4,57.14,14.3,2005,0,13.0,13.0,6.0,3.0
2296,Wolde Harris,F,COL,10,5,504,1,0,0,0,7,4,57.14,14.3,2005,0,13.0,13.0,6.0,3.0
2297,Eddie Pope,D,RSL,20,20,1756,1,0,0,1,8,4,50.0,12.5,2005,0,5.0,22.0,5.0,-35.0
2298,Jack Stewart,D,CHI,9,3,400,1,0,1,0,10,5,50.0,10.0,2005,0,15.0,13.0,4.0,-1.0
2299,Domenic Mediate,M,CLB,11,4,475,1,0,0,0,12,7,58.33,8.3,2005,0,11.0,16.0,5.0,-11.0
2300,Mario Rodriguez,M,CLB,19,15,1309,1,0,2,1,22,9,40.91,4.5,2005,0,11.0,16.0,5.0,-11.0
2301,Juan Pablo Garcia,M,CHV,9,9,771,1,0,2,0,23,14,60.87,4.3,2005,0,4.0,22.0,6.0,-36.0
2302,Kyle Martino,M,CLB,27,27,2248,0,8,6,1,24,9,37.5,0.0,2005,0,11.0,16.0,5.0,-11.0
2303,Mark Lisi,M,MET,28,22,1971,0,5,3,0,19,6,31.58,0.0,2005,0,12.0,9.0,11.0,4.0
2304,Kerry Zavagnin,M,KC,28,27,2421,0,4,5,0,13,4,30.77,0.0,2005,0,11.0,9.0,12.0,8.0
2305,Tim Ward,D,MET,13,11,1033,0,3,4,0,6,2,33.33,0.0,2005,0,12.0,9.0,11.0,4.0
2306,Ned Grabavoy,M,LA,12,9,655,0,3,0,0,8,0,0.0,0.0,2005,0,13.0,13.0,6.0,-1.0
2307,Orlando Perez,D,CHV,27,24,2068,0,3,2,1,8,4,50.0,0.0,2005,0,4.0,22.0,6.0,-36.0
2308,Joe Franchino,M,NE,24,23,2011,0,3,2,0,10,4,40.0,0.0,2005,0,17.0,7.0,8.0,18.0
2309,Carey Talley,D,DAL,20,14,1092,0,3,2,1,11,4,36.36,0.0,2005,0,13.0,10.0,9.0,8.0
2310,C.J. Brown,D,CHI,20,18,1657,0,2,6,0,2,0,0.0,0.0,2005,0,15.0,13.0,4.0,-1.0
2311,Logan Pause,M,CHI,27,24,2093,0,2,2,0,2,1,50.0,0.0,2005,0,15.0,13.0,4.0,-1.0
2312,Dan Gargan,D,COL,12,5,511,0,2,1,0,2,0,0.0,0.0,2005,0,13.0,13.0,6.0,3.0
2313,John Wilson,D,DC,17,11,1098,0,2,2,0,5,2,40.0,0.0,2005,0,16.0,10.0,6.0,21.0
2314,Leslie Fitzpatrick,M,RSL,18,6,707,0,2,0,0,8,6,75.0,0.0,2005,0,5.0,22.0,5.0,-35.0
2315,David Wagenfuhr,D,DAL,19,15,1368,0,2,1,0,8,2,25.0,0.0,2005,0,13.0,10.0,9.0,8.0
2316,Robert Scarlett,M,RSL,9,8,719,0,2,0,0,8,3,37.5,0.0,2005,0,5.0,22.0,5.0,-35.0
2317,Ritchie Kotschau,D,COL,28,25,2271,0,2,2,0,8,1,12.5,0.0,2005,0,13.0,13.0,6.0,3.0
2318,Diego Gutierrez,D,KC,21,18,1701,0,2,5,1,13,3,23.08,0.0,2005,0,11.0,9.0,12.0,8.0
2319,Todd Dunivant,D,LA,32,32,2880,0,2,3,0,14,3,21.43,0.0,2005,0,13.0,13.0,6.0,-1.0
2320,Paulo Nagamura,M,LA,25,24,2028,0,2,7,0,21,8,38.1,0.0,2005,0,13.0,13.0,6.0,-1.0
2321,Francisco Mendoza,M,CHV,24,20,1877,0,2,5,0,26,11,42.31,0.0,2005,0,4.0,22.0,6.0,-36.0
2322,Avery John,D,NE,14,13,1167,0,1,2,0,0,0,,0.0,2005,0,17.0,7.0,8.0,18.0
2323,Gustavo Cabrera,D,RSL,4,4,360,0,1,2,0,0,0,,0.0,2005,0,5.0,22.0,5.0,-35.0
2324,Manny Lagos,M,CLB,5,2,187,0,1,1,0,0,0,,0.0,2005,0,11.0,16.0,5.0,-11.0
2325,Steve Guppy,M,DC,5,4,285,0,1,1,0,1,0,0.0,0.0,2005,0,16.0,10.0,6.0,21.0
2326,Tony Sanneh,D,CHI,12,11,988,0,1,1,0,1,1,100.0,0.0,2005,0,15.0,13.0,4.0,-1.0
2327,Leo Cullen,M,COL,15,8,750,0,1,3,0,1,0,0.0,0.0,2005,0,13.0,13.0,6.0,3.0
2328,Craig Waibel,D,SJ,6,6,527,0,1,0,0,1,0,0.0,0.0,2005,0,18.0,4.0,10.0,22.0
2329,Kevin Goldthwaite,D,SJ,3,2,147,0,1,1,1,1,1,100.0,0.0,2005,0,18.0,4.0,10.0,22.0
2330,Ugo Ihemelu,D,LA,25,23,2030,0,1,4,1,1,0,0.0,0.0,2005,0,13.0,13.0,6.0,-1.0
2331,Seth Stammler,M,MET,10,3,358,0,1,2,0,2,2,100.0,0.0,2005,0,12.0,9.0,11.0,4.0
2332,Will John,M,CHI,6,2,199,0,1,0,0,2,0,0.0,0.0,2005,0,15.0,13.0,4.0,-1.0
2333,Antti Sumiala,F,KC,2,2,116,0,1,0,0,2,1,50.0,0.0,2005,0,11.0,9.0,12.0,8.0
2334,Mark Schulte,D,CLB,19,18,1540,0,1,3,0,2,0,0.0,0.0,2005,0,11.0,16.0,5.0,-11.0
2335,David Stokes,D,DC,10,3,388,0,1,0,0,2,1,50.0,0.0,2005,0,16.0,10.0,6.0,21.0
2336,Brian Roberts,D,KC,11,3,337,0,1,1,0,3,0,0.0,0.0,2005,0,11.0,9.0,12.0,8.0
2337,Rusty Pierce,D,RSL,15,15,1200,0,1,3,0,3,1,33.33,0.0,2005,0,5.0,22.0,5.0,-35.0
2338,Hunter Freeman,D,COL,20,14,1216,0,1,4,1,5,2,40.0,0.0,2005,0,13.0,13.0,6.0,3.0
2339,Jeff Parke,D,MET,21,19,1632,0,1,4,0,6,1,16.67,0.0,2005,0,12.0,9.0,11.0,4.0
2340,Francisco Gomez,M,CHV,12,8,648,0,1,2,0,6,0,0.0,0.0,2005,0,4.0,22.0,6.0,-36.0
2341,Marcus Storey,M,CLB,12,3,381,0,1,0,0,6,1,16.67,0.0,2005,0,11.0,16.0,5.0,-11.0
2342,Luke Kreamalmeyer,M,RSL,6,2,247,0,1,0,0,6,2,33.33,0.0,2005,0,5.0,22.0,5.0,-35.0
2343,Dante Washington,F,CLB,9,2,281,0,1,0,0,7,3,42.86,0.0,2005,0,11.0,16.0,5.0,-11.0
2344,Chris Leitch,D,MET,28,26,2343,0,1,7,0,8,2,25.0,0.0,2005,0,12.0,9.0,11.0,4.0
2345,Simo Valakari,M,DAL,28,28,2471,0,1,8,0,8,1,12.5,0.0,2005,0,13.0,10.0,9.0,8.0
2346,Greg Vanney,D,DAL,25,25,2210,0,1,4,1,8,5,62.5,0.0,2005,0,13.0,10.0,9.0,8.0
2347,Guy Melamed,M,COL,14,10,910,0,1,4,2,10,2,20.0,0.0,2005,0,13.0,13.0,6.0,3.0
2348,Clyde Simms,M,DC,26,12,1263,0,1,1,0,13,3,23.08,0.0,2005,0,16.0,10.0,6.0,21.0
2349,Nat Borchers,D,COL,31,31,2721,0,1,7,1,13,2,15.38,0.0,2005,0,13.0,13.0,6.0,3.0
2350,Danny Szetela,M,CLB,16,13,1116,0,1,3,0,16,1,6.25,0.0,2005,0,11.0,16.0,5.0,-11.0
2351,Alecko Eskandarian,F,DC,12,7,661,0,1,1,0,21,8,38.1,0.0,2005,0,16.0,10.0,6.0,21.0
2352,Stephen Keel,D,COL,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,3.0
2353,Jeff Larentowicz,M,ATL,1,0,1,0,0,0,0,0,0,,0.0,2005,0,,,,
2354,Michael Parkhurst,D,NE,32,32,2880,0,0,2,0,0,0,,0.0,2005,0,17.0,7.0,8.0,18.0
2355,Chris Wondolowski,F,SJ,2,0,5,0,0,1,0,0,0,,0.0,2005,0,18.0,4.0,10.0,22.0
2356,Ryan Raybould,D,KC,1,0,10,0,0,0,0,0,0,,0.0,2005,0,11.0,9.0,12.0,8.0
2357,Stephen deRoux,M,DC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,16.0,10.0,6.0,21.0
2358,Marlon Rojas,D,RSL,7,6,507,0,0,1,0,0,0,,0.0,2005,0,5.0,22.0,5.0,-35.0
2359,Daniel Garipe,M,MET,0,0,0,0,0,0,0,0,0,,0.0,2005,0,12.0,9.0,11.0,4.0
2360,Leonard Griffin,D,CHI,3,2,151,0,0,1,1,0,0,,0.0,2005,0,15.0,13.0,4.0,-1.0
2361,Amir Lowery,M,COL,1,0,1,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,3.0
2362,Lucio Filomeno,F,DC,1,0,22,0,0,0,0,0,0,,0.0,2005,0,16.0,10.0,6.0,21.0
2363,Eugene Sepuya,F,COL,1,0,18,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,3.0
2364,Hector Castro,M,CHV,0,0,0,0,0,0,0,0,0,,0.0,2005,0,4.0,22.0,6.0,-36.0
2365,Roger Levesque,M,SJ,1,0,11,0,0,0,0,0,0,,0.0,2005,0,18.0,4.0,10.0,22.0
2366,Josh Gardner,M,LA,1,0,13,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,-1.0
2367,Victor Arbelaez,D,CHV,0,0,0,0,0,0,0,0,0,,0.0,2005,0,4.0,22.0,6.0,-36.0
2368,Kenny Arena,D,DC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,16.0,10.0,6.0,21.0
2369,Mike Munoz,M,CHV,1,0,15,0,0,0,0,0,0,,0.0,2005,0,4.0,22.0,6.0,-36.0
2370,Rodrigo Lopez,M,CHV,1,0,5,0,0,0,0,0,0,,0.0,2005,0,4.0,22.0,6.0,-36.0
2371,Jason Hernandez,D,MET,3,3,268,0,0,1,0,0,0,,0.0,2005,0,12.0,9.0,11.0,4.0
2372,Christian Jimenez,M,CHV,0,0,0,0,0,0,0,0,0,,0.0,2005,0,4.0,22.0,6.0,-36.0
2373,Quavas Kirk,F,LA,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,-1.0
2374,Joshua Elbaum,M,COL,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,3.0
2375,Chris Corcoran,M,MET,0,0,0,0,0,0,0,0,0,,0.0,2005,0,12.0,9.0,11.0,4.0
2376,Guillermo Gonzalez,M,LA,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,-1.0
2377,Sasha Gotsmanov,F,COL,1,0,21,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,3.0
2378,Jamie Holmes,F,NE,1,0,20,0,0,0,0,0,0,,0.0,2005,0,17.0,7.0,8.0,18.0
2379,Michael Erush,M,CHV,0,0,0,0,0,0,0,0,0,,0.0,2005,0,4.0,22.0,6.0,-36.0
2380,Ryan Kelly,D,CLB,7,3,296,0,0,0,0,0,0,,0.0,2005,0,11.0,16.0,5.0,-11.0
2381,Cameron Knowles,D,RSL,4,3,346,0,0,1,0,0,0,,0.0,2005,0,5.0,22.0,5.0,-35.0
2382,Shawn Kuykendall,M,DC,2,0,10,0,0,1,0,0,0,,0.0,2005,0,16.0,10.0,6.0,21.0
2383,Aaron Lanes,M,SJ,0,0,0,0,0,0,0,0,0,,0.0,2005,0,18.0,4.0,10.0,22.0
2384,Douglas Lascody,M,KC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,11.0,9.0,12.0,8.0
2385,Ramon Bailey,F,MET,0,0,0,0,0,0,0,0,0,,0.0,2005,0,12.0,9.0,11.0,4.0
2386,Benjamin Benditson,D,LA,1,0,21,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,-1.0
2387,Milton Blanco,M,CHV,5,0,40,0,0,0,0,0,0,,0.0,2005,0,4.0,22.0,6.0,-36.0
2388,Dustin Branan,D,KC,1,0,1,0,0,0,0,0,0,,0.0,2005,0,11.0,9.0,12.0,8.0
2389,Mamadou Diallo,D,MET,0,0,0,0,0,0,0,0,0,,0.0,2005,0,12.0,9.0,11.0,4.0
2390,Daniel Dobson,D,KC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,11.0,9.0,12.0,8.0
2391,Tighe Dombrowski,M,SJ,0,0,0,0,0,0,0,0,0,,0.0,2005,0,18.0,4.0,10.0,22.0
2392,Hollis Donaldson,D,CHI,0,0,0,0,0,0,0,0,0,,0.0,2005,0,15.0,13.0,4.0,-1.0
2393,Devin Barclay,F,CLB,1,0,19,0,0,0,0,0,0,,0.0,2005,0,11.0,16.0,5.0,-11.0
2394,Tony Lochhead,D,NE,0,0,0,0,0,0,0,0,0,,0.0,2005,0,17.0,7.0,8.0,18.0
2395,Ricardo Phillips,M,NE,4,0,34,0,0,0,0,0,0,,0.0,2005,0,17.0,7.0,8.0,18.0
2396,Luis Gallardo,M,CLB,0,0,0,0,0,0,0,0,0,,0.0,2005,0,11.0,16.0,5.0,-11.0
2397,Felix Brillant,M,NE,0,0,0,0,0,0,0,0,0,,0.0,2005,0,17.0,7.0,8.0,18.0
2398,Robin Fraser,D,CLB,29,29,2607,0,0,7,0,0,0,,0.0,2005,0,11.0,16.0,5.0,-11.0
2399,Wes Hart,D,SJ,7,1,175,0,0,0,0,0,0,,0.0,2005,0,18.0,4.0,10.0,22.0
2400,Jeff Stewart,D,RSL,0,0,0,0,0,0,0,0,0,,0.0,2005,0,5.0,22.0,5.0,-35.0
2401,Stephen Herdsman,D,CLB,7,7,467,0,0,0,0,0,0,,0.0,2005,0,11.0,16.0,5.0,-11.0
2402,Eric Quill,F,DAL,2,0,11,0,0,0,0,0,0,,0.0,2005,0,13.0,10.0,9.0,8.0
2403,David Johnson,M,LA,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,-1.0
2404,Philip Salyer,D,DAL,2,2,180,0,0,0,0,0,0,,0.0,2005,0,13.0,10.0,9.0,8.0
2405,Eliseo Quintanilla,F,DC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,16.0,10.0,6.0,21.0
2406,Duncan Oughton,D,CLB,0,0,0,0,0,0,0,0,0,,0.0,2005,0,11.0,16.0,5.0,-11.0
2407,Craig Capano,M,CHI,0,0,0,0,0,0,0,0,0,,0.0,2005,0,15.0,13.0,4.0,-1.0
2408,Ross Paule,M,CLB,0,0,0,0,0,0,0,0,0,,0.0,2005,0,11.0,16.0,5.0,-11.0
2409,Tim Merritt,D,DC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,16.0,10.0,6.0,21.0
2410,John Minagawa-Webster,M,KC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,11.0,9.0,12.0,8.0
2411,Jared Montz,D,CHI,0,0,0,0,0,0,0,0,0,,0.0,2005,0,15.0,13.0,4.0,-1.0
2412,Michael Nsien,D,LA,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,-1.0
2413,Sergio Flores,D,RSL,0,0,0,0,0,0,0,0,0,,0.0,2005,0,5.0,22.0,5.0,-35.0
2414,Tim Lawson,M,DC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,16.0,10.0,6.0,21.0
2415,Michael Lookingland,D,RSL,1,1,90,0,0,0,0,0,0,,0.0,2005,0,5.0,22.0,5.0,-35.0
2416,Winston Marshall,D,DAL,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,10.0,9.0,8.0
2417,Ty Maurin,M,DAL,3,0,16,0,0,0,0,0,0,,0.0,2005,0,13.0,10.0,9.0,8.0
2418,Pat McGinnis,F,KC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,11.0,9.0,12.0,8.0
2419,John Pulido,M,DAL,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,10.0,9.0,8.0
2420,Orlando Ramirez,F,SJ,0,0,0,0,0,0,0,0,0,,0.0,2005,0,18.0,4.0,10.0,22.0
2421,Brett Rodriguez,D,SJ,0,0,0,0,0,0,0,0,0,,0.0,2005,0,18.0,4.0,10.0,22.0
2422,Marcos Romaneiro,M,NE,0,0,0,0,0,0,0,0,0,,0.0,2005,0,17.0,7.0,8.0,18.0
2423,Andy Rosenband,M,CHI,0,0,0,0,0,0,0,0,0,,0.0,2005,0,15.0,13.0,4.0,-1.0
2424,Marcus Sagastume,M,COL,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,13.0,6.0,3.0
2425,Jason Thompson,F,DC,1,0,1,0,0,0,0,0,0,,0.0,2005,0,16.0,10.0,6.0,21.0
2426,Mario Torres,M,DAL,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,10.0,9.0,8.0
2427,James Twellman,D,SJ,0,0,0,0,0,0,0,0,0,,0.0,2005,0,18.0,4.0,10.0,22.0
2428,Nick Van Sicklen,M,DC,0,0,0,0,0,0,0,0,0,,0.0,2005,0,16.0,10.0,6.0,21.0
2429,Luke Vercollone,M,NE,3,0,35,0,0,0,0,0,0,,0.0,2005,0,17.0,7.0,8.0,18.0
2430,Diego Walsh,M,KC,1,0,16,0,0,0,0,0,0,,0.0,2005,0,11.0,9.0,12.0,8.0
2431,DeMetrius White,M,CHI,0,0,0,0,0,0,0,0,0,,0.0,2005,0,15.0,13.0,4.0,-1.0
2432,Easton Wilson,M,NE,0,0,0,0,0,0,0,0,0,,0.0,2005,0,17.0,7.0,8.0,18.0
2433,Alex Woods,F,DAL,0,0,0,0,0,0,0,0,0,,0.0,2005,0,13.0,10.0,9.0,8.0
2434,Aaron Lopez,D,CHV,4,3,237,0,0,1,1,1,1,100.0,0.0,2005,0,4.0,22.0,6.0,-36.0
2435,Ricky Lewis,D,COL,16,16,1298,0,0,2,0,1,1,100.0,0.0,2005,0,13.0,13.0,6.0,3.0
2436,Alfonso Loera,D,CHV,12,9,875,0,0,2,1,1,1,100.0,0.0,2005,0,4.0,22.0,6.0,-36.0
2437,Martin Morales,M,COL,1,1,61,0,0,0,0,1,0,0.0,0.0,2005,0,13.0,13.0,6.0,3.0
2438,Matt Nickell,F,DC,4,0,30,0,0,0,0,1,1,100.0,0.0,2005,0,16.0,10.0,6.0,21.0
2439,Paul Broome,M,LA,14,11,1001,0,0,4,0,1,0,0.0,0.0,2005,0,13.0,13.0,6.0,-1.0
2440,Diego Serna,F,COL,1,0,13,0,0,1,0,1,1,100.0,0.0,2005,0,13.0,13.0,6.0,3.0
2441,Cassio,M,NE,3,2,111,0,0,0,0,1,1,100.0,0.0,2005,0,17.0,7.0,8.0,18.0
2442,Justin Detter,F,KC,4,0,40,0,0,0,0,1,0,0.0,0.0,2005,0,11.0,9.0,12.0,8.0
2443,Gilberto Flores,M,MET,3,0,37,0,0,0,0,1,0,0.0,0.0,2005,0,12.0,9.0,11.0,4.0
2444,Matt Crawford,M,COL,4,3,256,0,0,0,0,1,0,0.0,0.0,2005,0,13.0,13.0,6.0,3.0
2445,Alan Gordon,F,LA,5,3,200,0,0,1,0,1,0,0.0,0.0,2005,0,13.0,13.0,6.0,-1.0
2446,Nikolas Besagno,M,RSL,2,1,69,0,0,1,0,1,0,0.0,0.0,2005,0,5.0,22.0,5.0,-35.0
2447,Danilo Silva,D,LAFC,5,0,60,0,0,0,0,1,1,100.0,0.0,2005,0,,,,
2448,Alex Yi,D,DAL,1,1,66,0,0,1,0,1,0,0.0,0.0,2005,0,13.0,10.0,9.0,8.0
2449,Carlos Mendes,D,MET,24,21,1916,0,0,5,0,1,0,0.0,0.0,2005,0,12.0,9.0,11.0,4.0
2450,Ryan Cochrane,D,SJ,14,6,775,0,0,3,0,2,0,0.0,0.0,2005,0,18.0,4.0,10.0,22.0
2451,Jermaine Hue,M,KC,3,1,55,0,0,0,0,2,0,0.0,0.0,2005,0,11.0,9.0,12.0,8.0
2452,Troy Roberts,D,LA,14,9,822,0,0,3,0,2,0,0.0,0.0,2005,0,13.0,13.0,6.0,-1.0
